Name,Price in $,Role,TeamName,auction_year,Price in rs,Nationality,BasePrices in Rs,Winning Bid in Rs,Capped/UnCapped,price_rs,price_crore,match_key
Manish Pandey ,,Batter , Kolkata Knight Riders,2024,"50,00,000 ",Indian ,,,,5000000,0.5,m_pandey
Gus Atkinson ,,Bowler , Kolkata Knight Riders,2024,"1,00,00,000 ",Overseas ,,,,10000000,1.0,g_atkinson
Angkrish Raghuvanshi ,,Batter , Kolkata Knight Riders,2024,"20,00,000 ",Indian ,,,,2000000,0.2,a_raghuvanshi
Mitchell  Starc ,,Bowler , Kolkata Knight Riders,2024,"24,75,00,000 ",Overseas ,,,,247500000,24.75,m_starc
Sherfane Rutherford ,,Batter , Kolkata Knight Riders,2024,"1,50,00,000 ",Overseas ,,,,15000000,1.5,s_rutherford
Ramandeep  Singh ,,All-Rounder , Kolkata Knight Riders,2024,"20,00,000 ",Indian ,,,,2000000,0.2,r_singh
K.S. Bharat ,,Wicket-Keeper , Kolkata Knight Riders,2024,"50,00,000 ",Indian ,,,,5000000,0.5,k_bharat
Chetan Sakariya ,,Bowler , Kolkata Knight Riders,2024,"50,00,000 ",Indian ,,,,5000000,0.5,c_sakariya
Sakib Hussain ,,Bowler , Kolkata Knight Riders,2024,"20,00,000 ",Indian ,,,,2000000,0.2,s_hussain
Ashton Turner ,,Batter , Lucknow Super Giants,2024,"1,00,00,000 ",Overseas ,,,,10000000,1.0,a_turner
David Willey  ,,All-Rounder , Lucknow Super Giants,2024,"2,00,00,000 ",Overseas ,,,,20000000,2.0,d_willey
M. Siddharth ,,Bowler , Lucknow Super Giants,2024,"2,40,00,000 ",Indian ,,,,24000000,2.4,m_siddharth
Shivam  Mavi ,,Bowler , Lucknow Super Giants,2024,"6,40,00,000 ",Indian ,,,,64000000,6.4,s_mavi
Arshin Kulkarni ,,All-Rounder , Lucknow Super Giants,2024,"20,00,000 ",Indian ,,,,2000000,0.2,a_kulkarni
Mohd. Arshad Khan ,,All-Rounder , Lucknow Super Giants,2024,"20,00,000 ",Indian ,,,,2000000,0.2,m_khan
Dilshan Madushanka ,,Bowler , Mumbai Indians,2024,"4,60,00,000 ",Overseas ,,,,46000000,4.6,d_madushanka
Shreyas Gopal ,,Bowler , Mumbai Indians,2024,"20,00,000 ",Indian ,,,,2000000,0.2,s_gopal
Shivalik Sharma ,,All-Rounder , Mumbai Indians,2024,"20,00,000 ",Indian ,,,,2000000,0.2,s_sharma
Anshul Kamboj ,,All-Rounder , Mumbai Indians,2024,"20,00,000 ",Indian ,,,,2000000,0.2,a_kamboj
Mohammad Nabi ,,All-Rounder , Mumbai Indians,2024,"1,50,00,000 ",Overseas ,,,,15000000,1.5,m_nabi
Naman Dhir ,,All-Rounder , Mumbai Indians,2024,"20,00,000 ",Indian ,,,,2000000,0.2,n_dhir
Nuwan Thushara ,,Bowler , Mumbai Indians,2024,"4,80,00,000 ",Overseas ,,,,48000000,4.8,n_thushara
Gerald Coetzee ,,All-Rounder , Mumbai Indians,2024,"5,00,00,000 ",Overseas ,,,,50000000,5.0,g_coetzee
Chris Woakes  ,,All-Rounder , Punjab Kings,2024,"4,20,00,000 ",Overseas ,,,,42000000,4.2,c_woakes
Tanay Thyagarajann ,,All-Rounder , Punjab Kings,2024,"20,00,000 ",Indian ,,,,2000000,0.2,t_thyagarajann
Vishwanath Pratap Singh ,,All-Rounder , Punjab Kings,2024,"20,00,000 ",Indian ,,,,2000000,0.2,v_singh
Ashutosh Sharma ,,All-Rounder , Punjab Kings,2024,"20,00,000 ",Indian ,,,,2000000,0.2,a_sharma
Shashank  Singh ,,Batter , Punjab Kings,2024,"20,00,000 ",Indian ,,,,2000000,0.2,s_singh
Rilee Rossouw ,,Batter , Punjab Kings,2024,"8,00,00,000 ",Overseas ,,,,80000000,8.0,r_rossouw
Prince Choudhary ,,Bowler , Punjab Kings,2024,"20,00,000 ",Indian ,,,,2000000,0.2,p_choudhary
Harshal Patel ,,All-Rounder , Punjab Kings,2024,"11,75,00,000 ",Indian ,,,,117500000,11.75,h_patel
Shubham Dubey ,,Batter , Rajasthan Royals,2024,"5,80,00,000 ",Indian ,,,,58000000,5.8,s_dubey
Rovman Powell ,,Batter , Rajasthan Royals,2024,"7,40,00,000 ",Overseas ,,,,74000000,7.4,r_powell
Abid Mushtaq ,,All-Rounder , Rajasthan Royals,2024,"20,00,000 ",Indian ,,,,2000000,0.2,a_mushtaq
Nandre Burger ,,Bowler , Rajasthan Royals,2024,"50,00,000 ",Overseas ,,,,5000000,0.5,n_burger
Tom Kohler-Cadmore ,,Wicket-Keeper , Rajasthan Royals,2024,"40,00,000 ",Overseas ,,,,4000000,0.4,t_kohler-cadmore
Lockie Ferguson ,,Bowler , Royal Challengers Bengaluru,2024,"2,00,00,000 ",Overseas ,,,,20000000,2.0,l_ferguson
Tom Curran ,,All-Rounder , Royal Challengers Bengaluru,2024,"1,50,00,000 ",Overseas ,,,,15000000,1.5,t_curran
Saurav Chuahan ,,Batter , Royal Challengers Bengaluru,2024,"20,00,000 ",Indian ,,,,2000000,0.2,s_chuahan
Alzarri Joseph ,,Bowler , Royal Challengers Bengaluru,2024,"11,50,00,000 ",Overseas ,,,,115000000,11.5,a_joseph
Swapnil Singh ,,All-Rounder , Royal Challengers Bengaluru,2024,"20,00,000 ",Indian ,,,,2000000,0.2,s_singh
Yash  Dayal ,,Bowler , Royal Challengers Bengaluru,2024,"5,00,00,000 ",Indian ,,,,50000000,5.0,y_dayal
Jhathavedh Subramanyan ,,Bowler , Sunrisers Hyderabad,2024,"20,00,000 ",Indian ,,,,2000000,0.2,j_subramanyan
Akash Singh ,,Bowler , Sunrisers Hyderabad,2024,"20,00,000 ",Indian ,,,,2000000,0.2,a_singh
Jaydev Unadkat ,,Bowler , Sunrisers Hyderabad,2024,"1,60,00,000 ",Indian ,,,,16000000,1.6,j_unadkat
Wanindu Hasaranga ,,All-Rounder , Sunrisers Hyderabad,2024,"1,50,00,000 ",Overseas ,,,,15000000,1.5,w_hasaranga
Pat Cummins ,,All-Rounder , Sunrisers Hyderabad,2024,"20,50,00,000 ",Overseas ,,,,205000000,20.5,p_cummins
Travis Head ,,Batter , Sunrisers Hyderabad,2024,"6,80,00,000 ",Overseas ,,,,68000000,6.8,t_head
