bowler,balls_bowled,runs_conceded,wickets,economy,wickets_per_match,match_key
SS Iyer,6,7,0,7.0,0.0,s_iyer
SS Mundhe,7,6,1,5.14,17.14,s_mundhe
SS Sarkar,25,34,1,8.16,4.8,s_sarkar
SSB Magala,37,52,1,8.43,3.24,s_magala
ST Jayasuriya,301,396,16,7.89,6.38,s_jayasuriya
STR Binny,611,763,28,7.49,5.5,s_binny
SW Tait,534,668,26,7.51,5.84,s_tait
SZ Mulani,33,57,0,10.36,0.0,s_mulani
Sachin Baby,10,8,3,4.8,36.0,s_baby
Sandeep Sharma,2925,3758,153,7.71,6.28,s_sharma
Shahbaz Ahmed,549,850,21,9.29,4.59,s_ahmed
Shahid Afridi,185,237,9,7.69,5.84,s_afridi
Shakib Al Hasan,1515,1864,71,7.38,5.62,s_hasan
Shashank Singh,19,25,1,7.89,6.32,s_singh
Shivam Mavi,687,958,33,8.37,5.76,s_mavi
Shivam Sharma,114,165,4,8.68,4.21,s_sharma
Shoaib Ahmed,103,154,5,8.97,5.83,s_ahmed
Shoaib Akhtar,46,54,5,7.04,13.04,s_akhtar
Shoaib Malik,58,87,2,9.0,4.14,s_malik
Sikandar Raza,88,146,3,9.95,4.09,s_raza
Simarjeet Singh,193,265,10,8.24,6.22,s_singh
Sohail Tanvir,265,275,24,6.23,10.87,s_tanvir
Sumit Kumar,22,38,0,10.36,0.0,s_kumar
Sunny Gupta,19,47,0,14.84,0.0,s_gupta
Suyash Sharma,264,381,11,8.66,5.0,s_sharma
Swapnil Singh,165,241,7,8.76,5.09,s_singh
T Henderson,36,41,1,6.83,3.33,t_henderson
T Natarajan,1401,2001,76,8.57,6.51,t_natarajan
T Shamsi,120,185,3,9.25,3.0,t_shamsi
T Stubbs,25,29,4,6.96,19.2,t_stubbs
T Thushara,144,164,10,6.83,8.33,t_thushara
TA Boult,2428,3286,128,8.12,6.33,t_boult
TG Southee,1262,1774,57,8.43,5.42,t_southee
TK Curran,252,432,13,10.29,6.19,t_curran
TL Suman,152,198,7,7.82,5.53,t_suman
TM Dilshan,275,368,5,8.03,2.18,t_dilshan
TM Head,58,113,3,11.69,6.21,t_head
TP Sudhindra,74,137,1,11.11,1.62,t_sudhindra
TS Mills,218,349,11,9.61,6.06,t_mills
TU Deshpande,831,1275,46,9.21,6.64,t_deshpande
Tejas Baroka,21,33,0,9.43,0.0,t_baroka
Tilak Varma,23,28,0,7.3,0.0,t_varma
